categorical_feature_1,categorical_feature_2,numerical_feature_1,numerical_feature_2,target
nan,object_category_4,-1.754774098636812,0.5826129124121371,0
category_9,object_category_10,0.36447556842850387,-1.8590865009454944,0
nan,object_category_12,0.05604334933136917,0.10619622569251662,1
nan,object_category_3,0.6693165537253419,1.413907519424364,0
category_2,object_category_10,-0.0052670500390547634,-0.7343659785505433,0
nan,object_category_0,-0.23435327230806158,-0.6616848938537078,1
nan,object_category_10,0.7535541604597552,0.7970911958439243,1
nan,object_category_1,0.04463175149879736,1.0108395701004382,1
category_3,object_category_1,1.130526065745587,0.08890712876608359,1
category_0,object_category_11,0.9766989024102001,1.4856658830014025,0
category_4,object_category_0,-0.21188650931642966,0.7368680305325371,0
category_2,object_category_12,-0.5547956032817001,-1.554168503853992,0
nan,object_category_10,-1.591789940319992,-0.5509399277497227,0
nan,object_category_8,-0.8862319855299103,-0.3619878700672457,0
nan,object_category_5,0.048367061898780185,-0.8166875413826953,0
nan,object_category_1,-0.13088230751408172,-1.0899379809452763,1
nan,object_category_12,1.158701391761884,0.1701310273006526,1
category_12,object_category_11,-0.39576282330240575,-0.5882554676684764,1
nan,object_category_6,0.1165413627959761,1.918906297836711,0
category_2,object_category_11,0.3283237228665459,1.1337136399060193,0
nan,object_category_14,-0.06490375503579521,0.04284660013764854,1
category_4,object_category_5,-0.48701256171874985,-0.9556498709968432,0
category_13,object_category_13,0.4212642639402795,-0.4012155331507578,0
nan,object_category_12,0.4393970481225672,-0.9273153035084467,0
nan,object_category_3,-0.6004129069487797,1.4923579513499619,0
category_2,object_category_10,0.2974888100229642,-0.2543199086287872,0
nan,object_category_11,0.7786549671100772,-0.27417583326977785,0
nan,object_category_13,-1.2741590990544929,-0.991986466229846,1
category_14,object_category_14,0.0063613727328323995,0.6814812228849488,1
category_12,object_category_2,-1.0284801583853767,1.186831246924959,0
category_3,object_category_1,-0.6933711990436112,0.5227972683100819,0
category_2,object_category_8,-1.1393058571562256,-1.1985136043997615,1
nan,object_category_9,0.8882963002247405,-0.16005104418762198,1
category_11,object_category_11,0.38058075609789516,-1.2014812315785537,1
nan,object_category_6,-1.1750303065577359,-0.2688409757041385,0
category_8,object_category_10,-0.16430048465489022,1.1676340523630973,0
nan,object_category_9,0.2710745657617605,0.06475034377492143,1
nan,object_category_8,-0.07791002541733989,0.2850628790108297,0
category_9,object_category_10,2.020399422824887,-0.12847245143573818,1
nan,object_category_4,-0.9203021849399128,-1.7045286219552311,1
nan,object_category_0,-0.8986712997755408,-1.4479642692941022,1
nan,object_category_4,0.33022459145285066,0.6660690502375538,1
category_2,object_category_6,1.362613084082485,1.194371286436198,0
nan,object_category_2,-0.8753225497746294,-1.1273337585494156,1
category_10,object_category_7,-0.5874276722292445,-0.5384168973807818,1
category_8,object_category_3,-0.7878296153887988,2.337150303788862,1
category_13,object_category_10,1.4948855638293064,2.1067495067777284,0
category_5,object_category_0,0.11810891581441373,-0.028816573369875562,1
category_1,object_category_12,-2.74640960603745,-0.5077159030949433,1
category_12,object_category_7,-0.9922138444256424,0.32426651944901075,1
nan,object_category_1,0.28990750199823295,0.7387944685118957,0
category_13,object_category_0,0.6677266693950556,1.2872425480750385,0
category_7,object_category_4,1.4557775942506754,0.7076151557136284,0
category_8,object_category_8,0.5117796369183222,-0.5833923706348292,1
nan,object_category_6,0.09169965483669196,1.329662365564658,1
nan,object_category_11,-1.0316618486998983,-0.8313047327282546,1
category_14,object_category_1,-0.40484781883029014,0.8706405947910585,0
category_14,object_category_8,-0.6474763148026615,-2.32378509370824,1
nan,object_category_5,0.25327984484323074,-0.6321272445670598,0
category_9,object_category_13,1.9975132787307563,-1.868460319581211,0
category_3,object_category_8,-1.429188523705516,-0.545619313721491,1
category_13,object_category_9,0.7854637961163389,0.8937808217219553,1
category_0,object_category_5,0.9110313227451233,-0.09534598694831693,0
category_6,object_category_4,1.2631015085585864,-0.6277812523620078,0
category_3,object_category_6,1.1444894200705806,1.0660464188160144,0
nan,object_category_7,-0.32545855738730206,0.8783458613430976,0
category_13,object_category_2,-2.800284260242694,0.6039048340085087,0
category_9,object_category_12,-1.4518147124388745,0.7294134940380722,1
nan,object_category_7,-0.2740868413478079,1.3501933508719273,1
nan,object_category_2,0.012043953524575598,-1.2845674425529054,0
nan,object_category_5,0.1667452071765019,-1.6846412200654395,0
category_12,object_category_1,-0.17445916199215322,-0.923057236478424,0
nan,object_category_9,1.0259427066526603,1.4739395609080153,1
nan,object_category_1,-0.0027802172856554713,0.6879923061193034,0
nan,object_category_13,-0.5068280389484494,-0.5373230210027553,1
category_8,object_category_8,1.7049366811828748,0.35867797286476794,1
nan,object_category_6,-0.7971685655095446,0.5263978020012452,0
category_1,object_category_7,-0.5209190849981987,1.57276047531691,1
nan,object_category_3,-0.8201188764473419,0.012757268570598645,1
category_2,object_category_5,0.838448062975472,-0.9470999591335187,0
category_10,object_category_1,0.4726441435125185,-0.09918630260264638,1
category_8,object_category_5,-0.7713678979860503,2.059272633925672,0
category_11,object_category_8,-0.9414359737241034,-2.3002378623345487,0
nan,object_category_14,1.0145396827405795,1.529432521351281,1
category_1,object_category_9,-0.1638524102806366,0.5297190471395895,0
nan,object_category_5,0.5217949959560525,-1.1948654407226786,1
nan,object_category_12,-0.24988699920760396,0.07668779580081193,0
nan,object_category_0,-1.8321866194347611,-1.2587481334704038,0
category_3,object_category_12,-0.6952000868594882,-0.9258741900203666,1
category_3,object_category_0,-0.8668454984724193,2.466978551532833,1
nan,object_category_0,-0.6246252041842293,-1.237913097753404,1
category_13,object_category_7,2.1106547391543544,0.9292924410600806,1
category_7,object_category_5,0.48633567047665494,2.476283273740965,0
nan,object_category_5,0.4239918836229401,0.5554158966249445,0
category_5,object_category_6,-0.43340600025382237,1.427610182388222,1
nan,object_category_9,0.6099920932009205,0.6159512970576119,1
category_12,object_category_0,-1.683417449343186,0.8404579502170381,1
nan,object_category_8,0.750634457168931,-0.22049748693244242,0
nan,object_category_0,-2.277583721250828,0.2670233242611395,1
nan,object_category_4,0.7398912325055016,0.6480820370077166,0
nan,object_category_4,-0.28607586956764536,0.7859097172550185,0
nan,object_category_6,-1.009262882592652,1.1828058871375107,0
nan,object_category_10,-0.777407241903073,-0.8326008032175203,0
category_0,object_category_0,1.1216350629524643,-0.8912766721454517,0
category_11,object_category_0,0.2872006063870537,-0.4001035668751562,1
nan,object_category_10,0.7669363326707759,1.1818686185099228,0
nan,object_category_2,0.05554920194765731,0.12933934766222852,1
nan,object_category_4,0.7556817934973376,-0.7843565196613174,1
nan,object_category_0,1.253745203010175,-1.6116368585300425,1
nan,object_category_4,-0.6067583273672943,-1.651663209185597,1
category_6,object_category_14,0.542265616518326,-0.3487500483604083,1
category_6,object_category_7,-0.29314735495444827,1.4016523185885505,1
category_0,object_category_12,-0.8892593793994795,-1.1841832360144526,0
nan,object_category_6,-0.0671033093094491,0.21424924049390134,1
category_3,object_category_11,-1.6716336842886999,0.0026020611633019845,1
category_0,object_category_12,-2.592188110553706,1.5058091048315914,1
nan,object_category_0,-1.0989630586771282,0.1211301949457867,1
category_7,object_category_0,-0.528699268294361,-1.1092929075644873,1
nan,object_category_13,-0.5730804891970394,0.9172387952764033,0
category_12,object_category_2,-0.2224830537412167,2.191822326118403,0
category_6,object_category_14,0.7599416099753484,-0.734380690425718,0
category_0,object_category_3,0.6502267842579018,-0.42586395218974155,0
category_11,object_category_13,0.01850739679055116,2.727437586514007,1
nan,object_category_2,1.1503187573040559,0.7614123468811951,0
nan,object_category_9,0.33981741097901763,0.04125989045249536,0
category_12,object_category_13,0.8238125976839396,-1.6620436383611732,1
nan,object_category_10,0.8959747547611049,0.6156533318002978,1
nan,object_category_8,-0.14169463746415148,2.1637984332057005,0
category_8,object_category_14,-0.3719073939514438,-1.0778891570642317,0
category_10,object_category_11,-1.2203110856368422,1.0282977651893503,1
nan,object_category_10,1.343052960042953,-1.1292949410673083,1
nan,object_category_6,-0.2656146311520219,-0.3882752843917767,1
category_9,object_category_12,2.23349104485142,-1.0775737749445693,0
category_4,object_category_6,-1.0817658968384019,-1.7963233984643605,1
nan,object_category_14,1.7174750606799887,-0.5901613575554593,1
nan,object_category_9,-0.39941465243824875,-1.3425569065073437,1
nan,object_category_12,-1.0567464727705003,0.7417409943134375,1
nan,object_category_7,0.4574851514943452,-0.3947079761620391,1
nan,object_category_14,-0.34003264175383374,0.3549543634242349,1
nan,object_category_3,2.5848745592006717,0.6097739830477803,1
nan,object_category_6,0.7068579438721467,-0.11048961890925087,0
nan,object_category_11,-1.555229759594698,-0.47343916878776277,1
category_6,object_category_2,-1.5264194953858141,-0.47410604697165415,0
nan,object_category_9,-0.5191164860364232,-0.3837078839106635,0
nan,object_category_0,-0.4566704400395647,1.253533648862865,1
category_0,object_category_3,0.7188502596387903,0.6068589768204162,1
nan,object_category_8,-0.2262786369546241,-0.9315766274496965,0
category_11,object_category_3,-0.5909436486346149,-0.37255890417202486,0
nan,object_category_4,0.4554237529809943,0.41515028238892543,0
category_3,object_category_8,0.8237896215155506,-2.0472611494280426,1
category_3,object_category_13,-0.6068472174573261,0.5537910227786486,1
category_3,object_category_4,1.451558835754517,1.0759085971367444,1
nan,object_category_14,2.4335460315483575,-1.1385420077721453,1
category_6,object_category_13,-1.0207182775464394,-0.18498043629279665,0
category_3,object_category_1,0.1215048543842065,0.4256185740555082,1
nan,object_category_3,0.5592677400000238,1.991562164438686,0
category_5,object_category_14,0.37432431062937926,1.0701142896837532,0
nan,object_category_12,-0.07367993739386278,0.7155339610603002,1
